,original,qiskit,qiskittime,tket,tkettime,parity,paritytime,annealer,annealertime,parityRTannealer,parityRTannealertime,parityRT,parityRTtime,ngadgets,device,nqubits
140,32,31,0.06545899999991889,22,0.4591770000001816,32,0.08066599999983737,34,0.01285299999972267,34,1.8389400000000933,32,0.7675269999999728,1,Johannesburg,20
141,22,21,0.047158999999737716,11,0.3087290000003122,24,0.021951000000171916,22,0.007731000000148924,22,0.6166729999999916,23,0.21788000000015018,1,Johannesburg,20
142,24,24,0.041472000000339904,23,0.4531769999998687,24,0.05022499999995489,24,0.010656000000381027,24,1.0369580000001406,24,0.5016430000000582,1,Johannesburg,20
143,26,26,0.050068000000010215,6,0.17514799999980823,30,0.04528699999991659,26,0.009592000000338885,26,1.0142940000000635,30,0.27596700000003693,1,Johannesburg,20
144,28,28,0.053968999999597145,11,0.21976699999959237,32,0.0512669999998252,28,0.008913000000120519,32,1.269025000000056,32,0.40292100000033315,1,Johannesburg,20
145,32,32,0.06358099999988553,16,0.3241050000001451,32,0.06256900000016685,28,0.010020000000167784,28,1.5242389999998522,32,0.591233000000102,1,Johannesburg,20
146,36,36,0.07926399999996647,36,0.777411999999913,36,0.1667449999999917,36,0.015574000000015076,36,3.294781999999941,36,1.6586029999998573,1,Johannesburg,20
147,0,0,0.008610000000317086,0,0.06695700000000215,0,0.008667000000059488,4,0.009833000000071479,2,0.2767829999997957,0,0.09068200000001525,1,Johannesburg,20
148,30,29,0.06536699999969642,28,0.5988280000001396,30,0.08814299999994546,30,0.015122000000246771,32,2.062963000000309,30,0.8890390000001389,1,Johannesburg,20
149,38,38,0.07539199999973789,29,0.5679009999998925,38,0.12529899999981353,42,0.019338999999945372,34,2.780685000000176,38,1.2260380000002442,1,Johannesburg,20
150,36,36,0.07486199999993914,28,0.5281580000000758,36,0.12191000000029817,36,0.014310999999906926,36,2.864563999999973,36,1.2343249999998989,1,Johannesburg,20
151,32,31,0.05353599999989456,26,0.5405230000001211,32,0.10540500000024622,32,0.014157000000068365,32,2.2350139999998646,31,0.8941709999999148,1,Johannesburg,20
152,36,35,0.052942000000257394,31,0.7088410000001204,40,0.09098800000037954,40,0.015021000000160711,34,2.467388999999912,39,0.9112529999997605,1,Johannesburg,20
153,20,20,0.0409589999999298,8,0.19014000000015585,22,0.022062999999889144,22,0.008774999999786814,22,0.5590539999998327,22,0.19082899999966685,1,Johannesburg,20
154,32,32,0.055627000000185944,28,0.5911670000000413,32,0.10651099999995495,32,0.015104999999948632,32,2.4676449999997203,32,1.0721530000000712,1,Johannesburg,20
155,0,0,0.007483999999749358,0,0.02208699999982855,0,0.00648300000011659,0,0.007117999999991298,2,0.21147700000028635,0,0.06548100000009072,1,Johannesburg,20
156,0,0,0.009469999999964784,0,0.046440999999958876,0,0.00981099999989965,0,0.01072599999997692,0,0.28947199999993245,0,0.10008499999958076,1,Johannesburg,20
157,0,0,0.008554999999887514,0,0.03920400000015434,0,0.00866100000030201,0,0.009615999999823543,4,0.27343599999994694,0,0.09033799999997427,1,Johannesburg,20
158,32,32,0.06145299999980125,30,0.5264270000002398,32,0.10178399999995236,32,0.013502000000244152,32,2.475550999999996,32,0.967073000000255,1,Johannesburg,20
159,24,24,0.04775400000016816,13,0.2467610000003333,26,0.021114000000125088,24,0.008720999999695778,22,0.582354000000123,25,0.2074880000000121,1,Johannesburg,20
160,18,18,0.03314300000010917,6,0.1354780000001483,20,0.01608299999998053,20,0.007824999999684223,16,0.4532490000001417,20,0.1607840000001488,1,Johannesburg,20
161,38,38,0.07924699999966833,38,0.7796419999999671,38,0.19388299999991432,42,0.02067799999986164,38,3.7507959999998093,38,1.9247850000001563,1,Johannesburg,20
162,18,17,0.03734400000030291,5,0.1464109999997163,20,0.022339999999985594,18,0.008660999999847263,22,0.5370040000002518,20,0.15238899999985733,1,Johannesburg,20
163,34,34,0.07355899999993198,30,0.6306279999998878,34,0.12377100000003338,34,0.018368000000009488,34,2.9760120000000825,34,1.2316510000000562,1,Johannesburg,20
164,28,27,0.0654090000002725,27,0.6342439999998533,28,0.08950300000014977,28,0.014376999999967666,28,2.0947770000002492,28,0.8898530000001301,1,Johannesburg,20
165,42,42,0.07277699999985998,23,0.4589219999998022,52,0.09365999999999985,46,0.013667999999597669,46,2.51643600000034,52,0.9003479999996671,1,Johannesburg,20
166,32,32,0.06188800000018091,16,0.4207320000000436,34,0.06363499999997657,32,0.0126669999999649,30,1.3911679999996522,32,0.6301300000000083,1,Johannesburg,20
167,38,38,0.07043600000042716,24,0.548909999999978,42,0.0902089999999589,38,0.015155000000049768,36,2.217898999999761,39,0.8999759999996968,1,Johannesburg,20
168,30,29,0.04721200000039971,21,0.4994120000001203,40,0.04286099999990256,34,0.010811999999987165,36,1.213289999999688,40,0.4234440000000177,1,Johannesburg,20
169,0,0,0.008319000000028609,0,0.033708999999817024,0,0.007906999999704567,2,0.008915999999771884,2,0.24712599999975282,0,0.0803289999998924,1,Johannesburg,20
170,32,32,0.05523300000004383,22,0.3560240000001613,34,0.06541999999990367,32,0.010680999999749474,34,1.4327829999997448,34,0.6026189999997769,1,Johannesburg,20
171,32,31,0.0704249999998865,27,0.6145620000002054,32,0.10413500000004206,36,0.01561100000026272,30,2.316153999999642,31,1.0392289999999775,1,Johannesburg,20
172,38,38,0.0721810000000005,27,0.44701100000020233,38,0.09106900000006135,38,0.01435700000001816,38,2.1723030000002836,36,0.8877159999997275,1,Johannesburg,20
